[debug] PhaseRunner.scala:78 Success [id => cypress, phase => typescript] 
[debug] PhaseRunner.scala:78 Success [id => cypress, phase => typescript] 
[debug] PhaseRunner.scala:78 Success [id => cypress, phase => typescript] 
[debug] PhaseRunner.scala:78 Success [id => cypress, phase => typescript] 
[info ] Phase1ReadTypescript.scala:152 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/cypress/types/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/cypress),TsIdentLibrarySimple(cypress)),TsIdentModule(None,List(cypress))) [id => cypress, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:190 Processing TsIdentLibrarySimple(cypress) [id => cypress, phase => typescript] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(Error)))) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainer) / TsMemberCall() / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeQuery())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(TReturnValue) at TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberFunction(on) / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeRef() / TsTypeRef()) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberFunction(on) / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeRef() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(TElement) at TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberFunction(on) / TsFunSig() / TsFunParam() / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeRef()) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberFunction(on) / TsFunSig() / TsFunParam() / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(TArgs) at TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberFunction(off) / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeRef() / TsTypeRef()) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberFunction(off) / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeRef() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(TReturnValue) at TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberFunction(off) / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeRef() / TsTypeRef()) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberFunction(off) / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeRef() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(TArgs) at TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberFunction(off) / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeRef() / TsTypeRef()) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberFunction(off) / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeRef() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(TReturnValue) at TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberFunction(off) / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeRef() / TsTypeRef()) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberFunction(off) / TsFunSig() / TsFunParam() / TsTypeUnion() / TsTypeRef() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(TElement) at TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberFunction(off) / TsFunSig() / TsFunParam() / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeRef()) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Cypress) / TsMemberFunction(off) / TsFunSig() / TsFunParam() / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(TArgs) at TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable) / TsMemberFunction(and) / TsFunSig() / TsFunParam() / TsTypeRef()) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable) / TsMemberFunction(and) / TsFunSig() / TsFunParam() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(TReturnValue) at TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable) / TsMemberFunction(and) / TsFunSig() / TsFunParam() / TsTypeRef()) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable) / TsMemberFunction(and) / TsFunSig() / TsFunParam() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(TArgs) at TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable) / TsMemberFunction(and) / TsFunSig() / TsFunParam() / TsTypeRef()) [id => cypress, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Cypress) / TsDeclInterface(Chainable) / TsMemberFunction(and) / TsFunSig() / TsFunParam() / TsTypeRef())] 
